train_loss,train_error,test_loss,test_error,epoch
2.616654455778189e-06,tensor(0.0024),1.47845294122817e-05,tensor(0.0047),0
6.446097813750384e-06,tensor(0.0022),1.833890928537585e-05,tensor(0.0049),1
6.2855560827301815e-06,tensor(0.0020),3.143859066767618e-05,tensor(0.0047),2
7.262218332471093e-06,tensor(0.0023),4.472194632398896e-05,tensor(0.0049),3
7.541306786151836e-06,tensor(0.0024),0.00011940005788346753,tensor(0.0049),4
1.160716601589229e-05,tensor(0.0024),0.0001442423090338707,tensor(0.0049),5
1.2663417692238e-05,tensor(0.0027),0.00015657150652259588,tensor(0.0049),6
2.2535448806593195e-05,tensor(0.0027),0.00013197680527810007,tensor(0.0049),7
2.9226790502434596e-05,tensor(0.0027),0.0001934789033839479,tensor(0.0049),8
2.915664663305506e-05,tensor(0.0028),0.00018122169421985745,tensor(0.0049),9
