train_loss,train_error,test_loss,test_error,epoch
8.790260089881485e-06,0.0036673621009103955,6.836323134646389e-06,0.00275923368624515,0
5.679680652974639e-06,0.002165965484920889,6.664033056343517e-06,0.0026758751639771082,1
4.622144151653629e-06,0.0016533983701374382,6.232264825354962e-06,0.0024531789268145247,2
4.073634360793221e-06,0.0013630526745691896,5.717034618721791e-06,0.00222096376727143,3
3.8075303345976865e-06,0.0012370104142464698,5.633135075070655e-06,0.002173924011119183,4
3.702170126416604e-06,0.0011972481971606612,5.418483158878405e-06,0.0020887790329103904,5
3.6643309158534977e-06,0.0011561339818872511,4.997179299636397e-06,0.0018625120384736904,6
3.508335330479895e-06,0.0010892111836001276,4.842780548469386e-06,0.0017571216153483542,7
3.628216782999516e-06,0.0011472814503358678,5.60629499858127e-06,0.0021804727665666076,8
3.552385283001058e-06,0.0011076686187880113,6.466497036435324e-06,0.002539520011475635,9
