train_loss,train_error,test_loss,test_error,epoch
7.4209915510436986e-06,tensor(0.0044),3.274043774581514e-05,tensor(0.0079),0
1.156261805590475e-05,tensor(0.0034),4.049761264468543e-05,tensor(0.0079),1
6.6582151703187265e-06,tensor(0.0020),4.5663531636819243e-05,tensor(0.0079),2
4.851928224525182e-06,tensor(0.0014),5.002717443858273e-05,tensor(0.0081),3
2.5482884211669443e-06,tensor(0.0009),5.097732719150372e-05,tensor(0.0081),4
9.80549089035776e-07,tensor(0.0003),5.365698234527372e-05,tensor(0.0081),5
3.2363061563955853e-07,tensor(0.0002),7.438612374244258e-05,tensor(0.0079),6
7.175579241902597e-08,tensor(5.8032e-05),7.419337634928524e-05,tensor(0.0079),7
6.866328305932257e-08,tensor(5.8032e-05),9.55535433604382e-05,tensor(0.0079),8
1.819982742290449e-08,tensor(0.),9.544225031277165e-05,tensor(0.0079),9
