train_loss,train_error,test_loss,test_error,epoch
3.221738893444126e-06,tensor(0.0024),6.537286026286893e-06,tensor(0.0032),0
4.95140648126835e-06,tensor(0.0026),7.66355424275389e-06,tensor(0.0032),1
5.04409604218381e-06,tensor(0.0023),4.044637898914516e-05,tensor(0.0031),2
9.28284657675249e-06,tensor(0.0022),7.490602729376405e-05,tensor(0.0031),3
2.5554815238137962e-05,tensor(0.0023),8.499179966747761e-05,tensor(0.0031),4
2.695243983907858e-05,tensor(0.0024),0.00010184265556745231,tensor(0.0032),5
4.257450200384483e-05,tensor(0.0025),9.850918286247179e-05,tensor(0.0032),6
3.9959548303158954e-05,tensor(0.0025),9.852720540948212e-05,tensor(0.0032),7
4.511649876803858e-05,tensor(0.0025),9.93501816992648e-05,tensor(0.0032),8
4.199654449621448e-05,tensor(0.0025),9.93699868558906e-05,tensor(0.0032),9
