train_loss,train_error,test_loss,test_error,epoch
0.0005057715461589396,tensor(0.0418),0.0005450349999591708,tensor(0.0493),0
0.000280497275525704,tensor(0.0129),0.0006799550028517842,tensor(0.0493),1
0.00020191643852740526,tensor(0.0076),0.0007369293598458171,tensor(0.0446),2
0.00014182041923049837,tensor(0.0024),0.000685837643686682,tensor(0.0423),3
0.00010300271969754249,tensor(0.0012),0.0006986919906921685,tensor(0.0399),4
7.517038466176018e-05,tensor(0.0006),0.0006948381778784096,tensor(0.0376),5
5.4565327445743605e-05,tensor(0.),0.0008311714045703411,tensor(0.0423),6
4.8486675950698555e-05,tensor(0.),0.0008761233184486628,tensor(0.0423),7
3.892892709700391e-05,tensor(0.),0.0009898277930915356,tensor(0.0423),8
3.4277440136065707e-05,tensor(0.),0.0010549257276579738,tensor(0.0423),9
